NOMBRE DEL PLATILLO|ORIGEN|RENDIMIENTO (PERSONAS)|PREPARACIÓN (MIN)|COCCIÓN (MIN)|REPOSO (MIN)|REFRIGERACIÓN (MIN)|CONGELACIÓN (MIN)|DIFICULTAD|COSTO|TIPO|Epoca|Categoría |Ingrediente
AGUA DE LIMON, CHAYA Y CHIA|GUANAJUATO|10|15|0|120|0|0|1|1|BEBIDAS|México Contemporáneo (1940 - Actualidad)|Bebidas|AGUA
AGUA DE LIMON, CHAYA Y CHIA|GUANAJUATO|10|15|0|120|0|0|1|1|BEBIDAS|México Contemporáneo (1940 - Actualidad)|Bebidas|CHAYA
AGUA DE LIMON, CHAYA Y CHIA|GUANAJUATO|10|15|0|120|0|0|1|1|BEBIDAS|México Contemporáneo (1940 - Actualidad)|Bebidas|LIMON
AGUA DE LIMON, CHAYA Y CHIA|GUANAJUATO|10|15|0|120|0|0|1|1|BEBIDAS|México Contemporáneo (1940 - Actualidad)|Bebidas|AZUCAR
AGUA FRESCA CON ALMENDRA DE MAMEY|PUEBLA|32|25|0|0|0|0|1|1|BEBIDAS|México Contemporáneo (1940 - Actualidad)|Bebidas|MAMEY
AGUA FRESCA CON ALMENDRA DE MAMEY|PUEBLA|32|25|0|0|0|0|1|1|BEBIDAS|México Contemporáneo (1940 - Actualidad)|Bebidas|AGUA
AGUA FRESCA CON ALMENDRA DE MAMEY|PUEBLA|32|25|0|0|0|0|1|1|BEBIDAS|México Contemporáneo (1940 - Actualidad)|Bebidas|AZUCAR
AGUACATES RELLENOS DE VERDURAS|MICHOACAN|10|15|0|0|0|0|2|2|ENTRADA|México Contemporáneo (1940 - Actualidad)|Entrées|AGUACATE
AGUACATES RELLENOS DE VERDURAS|MICHOACAN|10|15|0|0|0|0|2|2|ENTRADA|México Contemporáneo (1940 - Actualidad)|Entrées|LIMON
AGUACATES RELLENOS DE VERDURAS|MICHOACAN|10|15|0|0|0|0|2|2|ENTRADA|México Contemporáneo (1940 - Actualidad)|Entrées|QUESO PANELA
AGUACATES RELLENOS DE VERDURAS|MICHOACAN|10|15|0|0|0|0|2|2|ENTRADA|México Contemporáneo (1940 - Actualidad)|Entrées|CHICHARO
AGUACATES RELLENOS DE VERDURAS|MICHOACAN|10|15|0|0|0|0|2|2|ENTRADA|México Contemporáneo (1940 - Actualidad)|Entrées|JITOMATE
AGUACATES RELLENOS DE VERDURAS|MICHOACAN|10|15|0|0|0|0|2|2|ENTRADA|México Contemporáneo (1940 - Actualidad)|Entrées|MAYONESA
AGUACATES RELLENOS DE VERDURAS|MICHOACAN|10|15|0|0|0|0|2|2|ENTRADA|México Contemporáneo (1940 - Actualidad)|Entrées|LECHUGA
AGUACATES RELLENOS DE VERDURAS|MICHOACAN|10|15|0|0|0|0|2|2|ENTRADA|México Contemporáneo (1940 - Actualidad)|Entrées|SAL
AGUACATES RELLENOS DE VERDURAS|MICHOACAN|10|15|0|0|0|0|2|2|ENTRADA|México Contemporáneo (1940 - Actualidad)|Entrées|PIMIENTA
ALBONDIGAS CON CHICHARRON|ESTADO DE MEXICO|8|20|45|15|0|0|2|1|PLATOS PRINCIPALES CON CARNE ROJA|Conquista y Virreinato (1521 – 1821)|Carnes|CHICHARRON
ALBONDIGAS CON CHICHARRON|ESTADO DE MEXICO|8|20|45|15|0|0|2|1|PLATOS PRINCIPALES CON CARNE ROJA|Conquista y Virreinato (1521 – 1821)|Carnes|CARNE MOLIDA
ALBONDIGAS CON CHICHARRON|ESTADO DE MEXICO|8|20|45|15|0|0|2|1|PLATOS PRINCIPALES CON CARNE ROJA|Conquista y Virreinato (1521 – 1821)|Carnes|HUEVO
ALBONDIGAS CON CHICHARRON|ESTADO DE MEXICO|8|20|45|15|0|0|2|1|PLATOS PRINCIPALES CON CARNE ROJA|Conquista y Virreinato (1521 – 1821)|Carnes|CILANTRO
ALBONDIGAS CON CHICHARRON|ESTADO DE MEXICO|8|20|45|15|0|0|2|1|PLATOS PRINCIPALES CON CARNE ROJA|Conquista y Virreinato (1521 – 1821)|Carnes|AJO
ALBONDIGAS CON CHICHARRON|ESTADO DE MEXICO|8|20|45|15|0|0|2|1|PLATOS PRINCIPALES CON CARNE ROJA|Conquista y Virreinato (1521 – 1821)|Carnes|CEBOLLA
ALBONDIGAS CON CHICHARRON|ESTADO DE MEXICO|8|20|45|15|0|0|2|1|PLATOS PRINCIPALES CON CARNE ROJA|Conquista y Virreinato (1521 – 1821)|Carnes|HIERBABUENA
ALBONDIGAS CON CHICHARRON|ESTADO DE MEXICO|8|20|45|15|0|0|2|1|PLATOS PRINCIPALES CON CARNE ROJA|Conquista y Virreinato (1521 – 1821)|Carnes|PIMIENTA
ALBONDIGAS CON CHICHARRON|ESTADO DE MEXICO|8|20|45|15|0|0|2|1|PLATOS PRINCIPALES CON CARNE ROJA|Conquista y Virreinato (1521 – 1821)|Carnes|JITOMATE
ALBONDIGAS CON CHICHARRON|ESTADO DE MEXICO|8|20|45|15|0|0|2|1|PLATOS PRINCIPALES CON CARNE ROJA|Conquista y Virreinato (1521 – 1821)|Carnes|CHILE CHIPOTLE
ALBONDIGAS CON CHICHARRON|ESTADO DE MEXICO|8|20|45|15|0|0|2|1|PLATOS PRINCIPALES CON CARNE ROJA|Conquista y Virreinato (1521 – 1821)|Carnes|ACEITE
ALBONDIGAS CON CHICHARRON|ESTADO DE MEXICO|8|20|45|15|0|0|2|1|PLATOS PRINCIPALES CON CARNE ROJA|Conquista y Virreinato (1521 – 1821)|Carnes|ARROZ
ALBONDIGAS CON CHICHARRON|ESTADO DE MEXICO|8|20|45|15|0|0|2|1|PLATOS PRINCIPALES CON CARNE ROJA|Conquista y Virreinato (1521 – 1821)|Carnes|SAL
ALBONDIGAS DE PESCADO|BAJA CALIFORNIA SUR|5|20|30|0|0|0|1|2|PLATOS PRINCIPALES CON PESCADOS Y MARISCOS|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos|ATUN
ALBONDIGAS DE PESCADO|BAJA CALIFORNIA SUR|5|20|30|0|0|0|1|2|PLATOS PRINCIPALES CON PESCADOS Y MARISCOS|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos|PESCADO
ALBONDIGAS DE PESCADO|BAJA CALIFORNIA SUR|5|20|30|0|0|0|1|2|PLATOS PRINCIPALES CON PESCADOS Y MARISCOS|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos|ARROZ
ALBONDIGAS DE PESCADO|BAJA CALIFORNIA SUR|5|20|30|0|0|0|1|2|PLATOS PRINCIPALES CON PESCADOS Y MARISCOS|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos|HUEVO
ALBONDIGAS DE PESCADO|BAJA CALIFORNIA SUR|5|20|30|0|0|0|1|2|PLATOS PRINCIPALES CON PESCADOS Y MARISCOS|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos|AMARANTO
ALBONDIGAS DE PESCADO|BAJA CALIFORNIA SUR|5|20|30|0|0|0|1|2|PLATOS PRINCIPALES CON PESCADOS Y MARISCOS|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos|AJO
ALBONDIGAS DE PESCADO|BAJA CALIFORNIA SUR|5|20|30|0|0|0|1|2|PLATOS PRINCIPALES CON PESCADOS Y MARISCOS|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos|OREGANO
ALBONDIGAS DE PESCADO|BAJA CALIFORNIA SUR|5|20|30|0|0|0|1|2|PLATOS PRINCIPALES CON PESCADOS Y MARISCOS|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos|CILANTRO
ALBONDIGAS DE PESCADO|BAJA CALIFORNIA SUR|5|20|30|0|0|0|1|2|PLATOS PRINCIPALES CON PESCADOS Y MARISCOS|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos|HIERBABUENA
ALBONDIGAS DE PESCADO|BAJA CALIFORNIA SUR|5|20|30|0|0|0|1|2|PLATOS PRINCIPALES CON PESCADOS Y MARISCOS|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos|PIMIENTO MORRON
ALBONDIGAS DE PESCADO|BAJA CALIFORNIA SUR|5|20|30|0|0|0|1|2|PLATOS PRINCIPALES CON PESCADOS Y MARISCOS|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos|CALDO DE PESCADO
ALBONDIGAS DE PESCADO|BAJA CALIFORNIA SUR|5|20|30|0|0|0|1|2|PLATOS PRINCIPALES CON PESCADOS Y MARISCOS|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos|SAL
ALBONDIGAS DE PESCADO|BAJA CALIFORNIA SUR|5|20|30|0|0|0|1|2|PLATOS PRINCIPALES CON PESCADOS Y MARISCOS|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos|PIMIENTA
ALCACHOFAS GRATINADAS AL CHIPOTLE|ESTADO DE MEXICO|8|15|25|0|0|0|3|2|ENTRADA|México Contemporáneo (1940 - Actualidad)|Vegetariano|ALCACHOFA
ALCACHOFAS GRATINADAS AL CHIPOTLE|ESTADO DE MEXICO|8|15|25|0|0|0|3|2|ENTRADA|México Contemporáneo (1940 - Actualidad)|Vegetariano|MANTEQUILLA
ALCACHOFAS GRATINADAS AL CHIPOTLE|ESTADO DE MEXICO|8|15|25|0|0|0|3|2|ENTRADA|México Contemporáneo (1940 - Actualidad)|Vegetariano|LIMON
ALCACHOFAS GRATINADAS AL CHIPOTLE|ESTADO DE MEXICO|8|15|25|0|0|0|3|2|ENTRADA|México Contemporáneo (1940 - Actualidad)|Vegetariano|ACEITE
ALCACHOFAS GRATINADAS AL CHIPOTLE|ESTADO DE MEXICO|8|15|25|0|0|0|3|2|ENTRADA|México Contemporáneo (1940 - Actualidad)|Vegetariano|CEBOLLA
ALCACHOFAS GRATINADAS AL CHIPOTLE|ESTADO DE MEXICO|8|15|25|0|0|0|3|2|ENTRADA|México Contemporáneo (1940 - Actualidad)|Vegetariano|OSTION
ALCACHOFAS GRATINADAS AL CHIPOTLE|ESTADO DE MEXICO|8|15|25|0|0|0|3|2|ENTRADA|México Contemporáneo (1940 - Actualidad)|Vegetariano|CREMA
ALCACHOFAS GRATINADAS AL CHIPOTLE|ESTADO DE MEXICO|8|15|25|0|0|0|3|2|ENTRADA|México Contemporáneo (1940 - Actualidad)|Vegetariano|CHILE CHIPOTLE
ALCACHOFAS GRATINADAS AL CHIPOTLE|ESTADO DE MEXICO|8|15|25|0|0|0|3|2|ENTRADA|México Contemporáneo (1940 - Actualidad)|Vegetariano|QUESO GRUYERE
ALCACHOFAS GRATINADAS AL CHIPOTLE|ESTADO DE MEXICO|8|15|25|0|0|0|3|2|ENTRADA|México Contemporáneo (1940 - Actualidad)|Vegetariano|SAL
ALCACHOFAS GRATINADAS AL CHIPOTLE|ESTADO DE MEXICO|8|15|25|0|0|0|3|2|ENTRADA|México Contemporáneo (1940 - Actualidad)|Vegetariano|CEBOLLIN
ALEGRIAS|CIUDAD DE MEXICO|34|30|15|0|0|0|2|2|DULCES Y POSTRES|México Prehispánico (Antes de 1521)|Dulces y postres|PILONCILLO
ALEGRIAS|CIUDAD DE MEXICO|34|30|15|0|0|0|2|2|DULCES Y POSTRES|México Prehispánico (Antes de 1521)|Dulces y postres|MIEL
ALEGRIAS|CIUDAD DE MEXICO|34|30|15|0|0|0|2|2|DULCES Y POSTRES|México Prehispánico (Antes de 1521)|Dulces y postres|LIMON
ALEGRIAS|CIUDAD DE MEXICO|34|30|15|0|0|0|2|2|DULCES Y POSTRES|México Prehispánico (Antes de 1521)|Dulces y postres|AMARANTO
ALEGRIAS|CIUDAD DE MEXICO|34|30|15|0|0|0|2|2|DULCES Y POSTRES|México Prehispánico (Antes de 1521)|Dulces y postres|PASA
ALEGRIAS|CIUDAD DE MEXICO|34|30|15|0|0|0|2|2|DULCES Y POSTRES|México Prehispánico (Antes de 1521)|Dulces y postres|NUEZ
ANCAS DE RANA AL TEQUILA|GUANAJUATO|4|20|30|480|0|0|2|3|PLATOS PRINCIPALES CON OTRAS CARNES|México Contemporáneo (1940 - Actualidad)|Exóticos|TEQUILA
ANCAS DE RANA AL TEQUILA|GUANAJUATO|4|20|30|480|0|0|2|3|PLATOS PRINCIPALES CON OTRAS CARNES|México Contemporáneo (1940 - Actualidad)|Exóticos|LAUREL
ANCAS DE RANA AL TEQUILA|GUANAJUATO|4|20|30|480|0|0|2|3|PLATOS PRINCIPALES CON OTRAS CARNES|México Contemporáneo (1940 - Actualidad)|Exóticos|TOMILLO
ANCAS DE RANA AL TEQUILA|GUANAJUATO|4|20|30|480|0|0|2|3|PLATOS PRINCIPALES CON OTRAS CARNES|México Contemporáneo (1940 - Actualidad)|Exóticos|MEJORANA
ANCAS DE RANA AL TEQUILA|GUANAJUATO|4|20|30|480|0|0|2|3|PLATOS PRINCIPALES CON OTRAS CARNES|México Contemporáneo (1940 - Actualidad)|Exóticos|AJO
ANCAS DE RANA AL TEQUILA|GUANAJUATO|4|20|30|480|0|0|2|3|PLATOS PRINCIPALES CON OTRAS CARNES|México Contemporáneo (1940 - Actualidad)|Exóticos|RANA
ANCAS DE RANA AL TEQUILA|GUANAJUATO|4|20|30|480|0|0|2|3|PLATOS PRINCIPALES CON OTRAS CARNES|México Contemporáneo (1940 - Actualidad)|Exóticos|MANTEQUILLA
ANCAS DE RANA AL TEQUILA|GUANAJUATO|4|20|30|480|0|0|2|3|PLATOS PRINCIPALES CON OTRAS CARNES|México Contemporáneo (1940 - Actualidad)|Exóticos|ACEITE DE OLIVA
ANCAS DE RANA AL TEQUILA|GUANAJUATO|4|20|30|480|0|0|2|3|PLATOS PRINCIPALES CON OTRAS CARNES|México Contemporáneo (1940 - Actualidad)|Exóticos|CEBOLLA
ANCAS DE RANA AL TEQUILA|GUANAJUATO|4|20|30|480|0|0|2|3|PLATOS PRINCIPALES CON OTRAS CARNES|México Contemporáneo (1940 - Actualidad)|Exóticos|JITOMATE
ANCAS DE RANA AL TEQUILA|GUANAJUATO|4|20|30|480|0|0|2|3|PLATOS PRINCIPALES CON OTRAS CARNES|México Contemporáneo (1940 - Actualidad)|Exóticos|TOMATE
ANCAS DE RANA AL TEQUILA|GUANAJUATO|4|20|30|480|0|0|2|3|PLATOS PRINCIPALES CON OTRAS CARNES|México Contemporáneo (1940 - Actualidad)|Exóticos|CHILE SERRANO
ANCAS DE RANA AL TEQUILA|GUANAJUATO|4|20|30|480|0|0|2|3|PLATOS PRINCIPALES CON OTRAS CARNES|México Contemporáneo (1940 - Actualidad)|Exóticos|CHAYOTE
ANCAS DE RANA AL TEQUILA|GUANAJUATO|4|20|30|480|0|0|2|3|PLATOS PRINCIPALES CON OTRAS CARNES|México Contemporáneo (1940 - Actualidad)|Exóticos|ZANAHORIA
ANCAS DE RANA AL TEQUILA|GUANAJUATO|4|20|30|480|0|0|2|3|PLATOS PRINCIPALES CON OTRAS CARNES|México Contemporáneo (1940 - Actualidad)|Exóticos|CALABAZA
ANCAS DE RANA AL TEQUILA|GUANAJUATO|4|20|30|480|0|0|2|3|PLATOS PRINCIPALES CON OTRAS CARNES|México Contemporáneo (1940 - Actualidad)|Exóticos|PAPA
ANCAS DE RANA AL TEQUILA|GUANAJUATO|4|20|30|480|0|0|2|3|PLATOS PRINCIPALES CON OTRAS CARNES|México Contemporáneo (1940 - Actualidad)|Exóticos|SAL
ANCAS DE RANA AL TEQUILA|GUANAJUATO|4|20|30|480|0|0|2|3|PLATOS PRINCIPALES CON OTRAS CARNES|México Contemporáneo (1940 - Actualidad)|Exóticos|PIMIENTA
ANTE DE LECHE QUEMADA|JALISCO|10|45|20|0|0|0|2|3|DULCES Y POSTRES|Conquista y Virreinato (1521 – 1821)|Dulces y postres|JEREZ
ANTE DE LECHE QUEMADA|JALISCO|10|45|20|0|0|0|2|3|DULCES Y POSTRES|Conquista y Virreinato (1521 – 1821)|Dulces y postres|PASA
ANTE DE LECHE QUEMADA|JALISCO|10|45|20|0|0|0|2|3|DULCES Y POSTRES|Conquista y Virreinato (1521 – 1821)|Dulces y postres|ACITRON
ANTE DE LECHE QUEMADA|JALISCO|10|45|20|0|0|0|2|3|DULCES Y POSTRES|Conquista y Virreinato (1521 – 1821)|Dulces y postres|BIZCOCHO
ANTE DE LECHE QUEMADA|JALISCO|10|45|20|0|0|0|2|3|DULCES Y POSTRES|Conquista y Virreinato (1521 – 1821)|Dulces y postres|LECHE
