Ingrediente|Platillos|Categoría|Epoca|Origen|Destino|Estado|Cultura prehispánica|Nota cultural|Cult
CILANTRO|65|Verduras y Hierbas|Conquista y Virreinato (1521 – 1821)|Grecia|Veracruz|Veracruz|Grecia|Los mexicas no lo conocieron; se popularizó mucho después.|
OREGANO|63|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Italia|Puebla|Puebla|Italia|En México se usa una variedad local más fuerte que la europea.|
CANELA|62|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Sri Lanka|Veracruz|Veracruz|Sri Lanka|En la Colonia se usaba en casi todos los postres conventuales.|
EPAZOTE|60|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Edomex|Edomex|Edomex|Mexica|Se usaba para protegerse de males espirituales y evitar gases estomacales.|
CALDO DE POLLO|60|Carnes y Mariscos|Conquista y Virreinato (1521 – 1821)|Tlaxcala|Tlaxcala|Tlaxcala|Mexica|El caldo se preparaba con aves nativas como el guajolote, no con pollo.|
LIMON|58|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|India|Colima|Colima|India|El limón persa fue traído por los españoles y crece mejor en la costa.|
MANTEQUILLA|57|Lácteos y Huevos|Conquista y Virreinato (1521 – 1821)|Francia|CDMX|CDMX|Francia|Era producto de lujo; en el siglo XX se popularizó con los refrigeradores.|
ACEITE DE OLIVA|55|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|España|Puebla|Puebla|España|Se cultiva en México desde el siglo XVI, pero con restricción colonial.|
CHILE ANCHO|55|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Puebla|Puebla|Puebla|Mexica|Es el chile poblano seco; su nombre refiere al grosor de su carne.|
CHILE SERRANO|52|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Veracruz|Veracruz|Veracruz|Totonaca|Se llama “serrano” porque crece en la sierra. Su picor varía con la altitud.|
CALABAZA|47|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Oaxaca|Oaxaca|Oaxaca|Zapoteca|Se usaban la pulpa, las semillas y hasta las cáscaras como utensilios.|
NARANJA|43|Frutas|Conquista y Virreinato (1521 – 1821)|India|Veracruz|Veracruz|India|Las primeras naranjas dulces llegaron vía Cuba y se adaptaron muy bien.|
LECHE|43|Lácteos y Huevos|Conquista y Virreinato (1521 – 1821)|Turquía|Jalisco|Jalisco|Turquía|Las vacas fueron traídas por Cortés; antes no había leche animal en América.|
AGUACATE|41|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Puebla|Puebla|Puebla|Mexica|Su nombre significa “testículo” en náhuatl por su forma. Afrodisiaco desde tiempos antiguos.|
COMINO|40|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Egipto|Puebla|Puebla|Egipto|Se usaba en embalsamamientos; hoy da sabor a adobos y chorizos.|
TOMATE VERDE|40|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Hidalgo|Hidalgo|Hidalgo|Mexica|Más ácido que el jitomate; base prehispánica de las salsas verdes.|
TOMILLO|38|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Grecia|CDMX|CDMX|Grecia|Planta asociada a rituales de fuerza y valor en la antigüedad.|
POLLO|37|Carnes y Mariscos|Conquista y Virreinato (1521 – 1821)|China|CDMX|CDMX|China|No existía en Mesoamérica; se masificó su consumo en el siglo XX.|
CLAVO|36|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Indonesia|Veracruz|Veracruz|Indonesia|En la Edad Media, valía su peso en oro; da aroma a moles y dulces.|
ALMENDRA|36|Leguminosas, Semillas y Nueces|Conquista y Virreinato (1521 – 1821)|Irán|Zacatecas|Zacatecas|Irán|Usada en la nogada, el mazapán original y postres virreinales.|
FRIJOL|33|Leguminosas, Semillas y Nueces|México Prehispánico (Antes de 1521)|Oaxaca|Oaxaca|Oaxaca|Zapoteca|Junto al maíz y el chile forma la “tríada mesoamericana” alimentaria.|
LAUREL|32|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Italia|CDMX|CDMX|Italia|Símbolo de victoria en Roma; en México se usa en caldos y salsas.|
HARINA DE TRIGO|31|Granos y Cereales|Conquista y Virreinato (1521 – 1821)|España|Puebla|Puebla|España|Hernán Cortés mandó sembrar trigo en Texcoco por necesidad de pan.|
MASA DE MAIZ|30|Harinas y Masas|México Prehispánico (Antes de 1521)|Puebla|Puebla|Puebla|Mexica|El secreto está en la cal. La nixtamalización transforma el maíz en nutrición.|
PASA|30|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Turquía|Zacatecas|Zacatecas|Turquía|Uva seca que aparece en moles, panes y arroz navideño.|
ZANAHORIA|28|Verduras y Hierbas|Conquista y Virreinato (1521 – 1821)|Irán|Zacatecas|Zacatecas|Irán|Era originalmente morada; la naranja se desarrolló en Países Bajos.|
MEJORANA|28|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Italia|CDMX|CDMX|Italia|Más dulce que el orégano; se cultiva en huertos urbanos.|
CHILE GUAJILLO|27|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Zacatecas|Zacatecas|Zacatecas|Mexica|Muy usado en adobos; su piel es tersa y su sabor suave.|
PEREJIL|26|Verduras y Hierbas|Conquista y Virreinato (1521 – 1821)|Grecia|CDMX|CDMX|Grecia|Se usa desde la antigüedad como planta de funeral y cocina.|
PAPA|26|Verduras y Hierbas|Conquista y Virreinato (1521 – 1821)|Perú|Veracruz|Veracruz|Perú|Se domesticó en los Andes; llegó a Europa y luego a México.|
ELOTE|25|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Edomex|Edomex|Edomex|Mexica|Se usaba como ofrenda. Las mazorcas se asociaban al ciclo agrícola del sol.|
CHILE PASILLA|24|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Puebla|Puebla|Puebla|Mexica|Su nombre viene del parecido con una “pasa” por su color y textura.|
RES|23|Carnes y Mariscos|Conquista y Virreinato (1521 – 1821)|España|Veracruz|Veracruz|España|Los mexicas no conocían res; llegó con los caballos y carretas.|
CREMA|22|Lácteos y Huevos|Conquista y Virreinato (1521 – 1821)|Francia|CDMX|CDMX|Francia|Se separa por decantación de la leche; se industrializó hasta los años 60.|
LECHUGA|22|Verduras y Hierbas|Conquista y Virreinato (1521 – 1821)|Italia|Puebla|Puebla|Italia|Cultivada en conventos; símbolo de frescura y limpieza espiritual.|
CHILE POBLANO|22|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Puebla|Puebla|Puebla|Mexica|Esencial en el chile en nogada; también se sirve capeado o en rajas.|
ANIS|22|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Siria|Puebla|Puebla|Siria|Base del anís mexicano; se usa en dulces y atoles.|
AJONJOLI|21|Verduras y Hierbas|Conquista y Virreinato (1521 – 1821)|India|Veracruz|Veracruz|India|Traído en la Colonia. Hoy se espolvorea sobre moles y panes dulces.|
TORTILLA DE MAIZ|21|Harinas y Masas|México Prehispánico (Antes de 1521)|Oaxaca|Oaxaca|Oaxaca|Zapoteca|Más que alimento: símbolo cultural. En cada pliegue hay historia.|
CHILE CHIPOTLE|21|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Puebla|Puebla|Puebla|Mexica|Jalapeño seco y ahumado; su sabor recuerda a la leña y tierra.|
QUESO|20|Lácteos y Huevos|Conquista y Virreinato (1521 – 1821)|Suiza|Chihuahua|Chihuahua|Suiza|Los menonitas lo introdujeron al norte del país en el siglo XX.|
POLVO PARA HORNEAR|19|Condimentos, Aceites y Endulzantes|México Contemporáneo (1940 - Actualidad)|Alemania|Veracruz|Veracruz|Alemania|Inventado en el siglo XIX; revolucionó la repostería sin levadura.|
PILONCILLO|19|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|India|Veracruz|Veracruz|India|Se obtiene del jugo de caña sin refinar; se usaba como medicina popular.|
VINAGRE BLANCO|18|Condimentos, Aceites y Endulzantes|Influencia europea / Porfiriato (1821 - 1910)|Alemania|CDMX|CDMX|Alemania|Su origen es medieval; útil en escabeches y limpieza doméstica.|
ARROZ|18|Granos y Cereales|Conquista y Virreinato (1521 – 1821)|China|Veracruz|Veracruz|China|Llegó por Filipinas; México es el mayor consumidor de arroz en América.|
BOLILLO|18|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Francia|Puebla|Puebla|Francia|Adaptación mexicana de la baguette; base de la torta.|
CHILE JALAPEÑO|18|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Veracruz|Veracruz|Veracruz|Totonaca|De Xalapa; fresco, picante y base de salsas encurtidas.|
PLATANO|17|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Filipinas|Veracruz|Veracruz|Filipinas|Llegó por el Galeón de Manila; ahora parte del desayuno mexicano.|
VINAGRE DE MANZANA|17|Frutas|Influencia europea / Porfiriato (1821 - 1910)|Francia|CDMX|CDMX|Francia|Hipócrates lo usaba como medicina; ahora va en aderezos y dietas.|
ACEITE DE MAIZ|16|Condimentos, Aceites y Endulzantes|México Contemporáneo (1940 - Actualidad)|EE.UU.|CDMX|CDMX|EE.UU.|Industrializado en el siglo XX como alternativa vegetal económica.|
HIERBABUENA|16|Verduras y Hierbas|Conquista y Virreinato (1521 – 1821)|España|Veracruz|Veracruz|España|Se adaptó tan bien que se volvió ingrediente esencial en moles verdes.|
XOCONOSTLE|16|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Hidalgo|Hidalgo|Hidalgo|Otomí|Tuna ácida del nopal; símbolo de resistencia y acidez ancestral.|
NUEZ|16|Leguminosas, Semillas y Nueces|Conquista y Virreinato (1521 – 1821)|Irán|Zacatecas|Zacatecas|Irán|Base de la nogada; se pela a mano para evitar amargor.|
VAINILLA|16|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Veracruz|Veracruz|Veracruz|Totonaca|Los totonacas fueron los primeros en cultivarla. Se poliniza manualmente.|
HOJA SANTA|14|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Veracruz|Veracruz|Veracruz|Totonaca|Se le atribuyen propiedades místicas; envuelve pescados como si los bendijera.|
CHILE HABANERO|14|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Yucatán|Yucatán|Yucatán|Maya|Uno de los más picantes del mundo. Su picor llega sin avisar.|
CHILE VERDE|13|Verduras y Hierbas|México Prehispánico (Antes de 1521)|CDMX|CDMX|CDMX|Mexica|Genérico para chiles frescos; el color de la esperanza también pica.|
ACEITUNA|13|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|España|Puebla|Puebla|España|Llegó con las monjas; base de la salsa veracruzana.|
MANTECA|13|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|España|Puebla|Puebla|España|Fue esencial para sustituir el aceite en la cocina virreinal por ser más barata.|
CHOCOLATE|12|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Chiapas|Chiapas|Chiapas|Maya|Era moneda, medicina y bebida de dioses. No llevaba azúcar.|
ALCAPARRAs|12|Condimentos, Aceites y Endulzantes|Influencia europea / Porfiriato (1821 - 1910)|Italia|CDMX|CDMX|Italia|Botón floral encurtido; da sabor a salsas como la veracruzana.|
TORTILLA|12|Harinas y Masas|México Prehispánico (Antes de 1521)|Oaxaca|Oaxaca|Oaxaca|Zapoteca|Se usaban como platos comestibles. Se hacían incluso de colores.|
CAMARON|12|Carnes y Mariscos|Conquista y Virreinato (1521 – 1821)|Sinaloa|Sinaloa|Sinaloa|Maya|En el Pacífico se usa crudo como ceviche; en el Golfo se guisa.|
ACHIOTE|12|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Yucatán|Yucatán|Yucatán|Maya|Se usaba como tinte corporal, repelente y condimento. Sagrado y rojo.|
MIEL|11|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Campeche|Campeche|Campeche|Maya|La abeja melipona, sin aguijón, da una miel considerada medicinal.|
CHILE GÜERO|11|Verduras y Hierbas|México Prehispánico (Antes de 1521)|CDMX|CDMX|CDMX|Mexica|De color amarillo pálido; ideal para rellenar o escabechar.|
LEVADURA|11|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Egipto|CDMX|CDMX|Egipto|Se usaba para inflar panes en el antiguo Egipto hace 4,000 años.|
HARINA|11|Harinas y Masas|Conquista y Virreinato (1521 – 1821)|España|Puebla|Puebla|España|Fue impuesta para sustituir al maíz en panaderías de elite.|
CHILE MULATO|11|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Puebla|Puebla|Puebla|Mexica|Da sabor a mole poblano. Tiene notas de cacao y pasas.|
CHORIZO|10|Carnes y Mariscos|Conquista y Virreinato (1521 – 1821)|España|CDMX|CDMX|España|En México se volvió más rojo y picante, con chile y vinagre.|
EJOTE|10|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Puebla|Puebla|Puebla|Mexica|Es la vaina tierna del frijol; se consume hervido o salteado.|
TRIGO|9|Granos y Cereales|Conquista y Virreinato (1521 – 1821)|España|Tlaxcala|Tlaxcala|España|Se sembró por orden de Cortés, convirtiéndose en cultivo religioso.|
PIÑON|9|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Hidalgo|Hidalgo|Hidalgo|Mexica|Se cosecha de pinos silvestres; ingrediente caro en moles y nogadas.|
NOPAL|9|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Morelos|Morelos|Morelos|Mexica|Planta nacional. Sus pencas se usan para comer, curar y hasta limpiar.|
PIÑA|8|Frutas|Conquista y Virreinato (1521 – 1821)|Brasil|Veracruz|Veracruz|Brasil|Fue uno de los primeros frutos tropicales exportados a Europa.|
BICARBONATO DE SODIO|8|Condimentos, Aceites y Endulzantes|México Contemporáneo (1940 - Actualidad)|EE.UU.|CDMX|CDMX|EE.UU.|Usado en panadería y también como antiácido casero desde el siglo XX.|
JEREZ|8|Condimentos, Aceites y Endulzantes|Influencia europea / Porfiriato (1821 - 1910)|España|Puebla|Puebla|España|Vino fortificado usado en moles coloniales y salsas dulces.|
CHICHARRON|8|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|España|CDMX|CDMX|España|Herencia ibérica; hoy base de tacos, salsas y guisados.|
VINO BLANCO|8|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|España|Guanajuato|Guanajuato|España|Monjes lo elaboraban para misas; se produce en viñedos mexicanos.|
RABANO|8|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Grecia|Puebla|Puebla|Grecia|Se cultiva en climas fríos; en Oaxaca se tallan figuras con él.|
CHICHARO|8|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Italia|Puebla|Puebla|Italia|Fue uno de los primeros vegetales europeos adaptados a huertos conventuales.|
CHILE DE ARBOL|8|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Jalisco|Jalisco|Jalisco|Mexica|Muy picante. En infusiones combate la gripe y en salsas, la apatía.|
QUESO AÑEJO|8|Lácteos y Huevos|Conquista y Virreinato (1521 – 1821)|Oaxaca|Oaxaca|Oaxaca|Mestiza|Su sabor fuerte realza moles y antojitos; se ralla finamente.|
CACAHUATE|8|Leguminosas, Semillas y Nueces|México Prehispánico (Antes de 1521)|Perú|Oaxaca|Oaxaca|Perú|Se volvió parte esencial del mole. En América se domesticó antes que en Asia.|
TOMATE|8|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Puebla|Puebla|Puebla|Mexica|El jitomate rojo dio la vuelta al mundo desde Mesoamérica.|
HARINA DE MAIZ|7|Harinas y Masas|México Prehispánico (Antes de 1521)|Edomex|Edomex|Edomex|Mexica|Industrializa la masa ancestral. Base de tamales, atoles y totopos.|
PLATANO MACHO|7|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Filipinas|Veracruz|Veracruz|Filipinas|Se fríe o cuece; fue alimento de barcos del Galeón de Manila.|
ALBAHACA|7|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|India|Puebla|Puebla|India|Considerada planta sagrada en Asia; en México aromatiza salsas verdes.|
NUEZ MOSCADA|7|Leguminosas, Semillas y Nueces|Conquista y Virreinato (1521 – 1821)|Indonesia|Veracruz|Veracruz|Indonesia|Fue codiciada por portugueses; hoy da aroma a atoles y nogada.|
AZAFRAN|7|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Irán|Puebla|Puebla|Irán|Una de las especias más caras del mundo; se usa en arroz y dulces.|
GUAYABA|7|Frutas|México Prehispánico (Antes de 1521)|Michoacán|Michoacán|Michoacán|Purépecha|Fruta del ponche navideño. Rica en vitamina C y nostalgia.|
CHILE CASCABEL|7|Verduras y Hierbas|México Prehispánico (Antes de 1521)|SLP|SLP|SLP|Mexica|Suena al moverse seco. Su sabor es suave y con notas ahumadas.|
CHILE PIQUIN|7|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Tamaulipas|Tamaulipas|Tamaulipas|Mexica|Silvestre, minúsculo y poderoso. Ideal para dar picor intenso.|
HONGO|7|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Tlaxcala|Tlaxcala|Tlaxcala|Mexica|Se recolectan en temporada. Algunos se consideran espirituales.|
CALDO DE PESCADO|7|Carnes y Mariscos|México Prehispánico (Antes de 1521)|Veracruz|Veracruz|Veracruz|Totonaca|Se elabora con cabeza y espinas; reconfortante y lleno de mar.|
JAIBA|7|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Veracruz|Veracruz|Veracruz|Totonaca|Se prepara en empanadas, sopas y chilpacholes costeños.|
PICO DE GALLO|6|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|CDMX|CDMX|CDMX|Mestiza|Su nombre viene de cómo se toma con los dedos, como si picotearas.|
HARINA DE ARROZ|6|Granos y Cereales|Conquista y Virreinato (1521 – 1821)|China|CDMX|CDMX|China|Base de atoles y postres; no contiene gluten.|
PAN|6|Harinas y Masas|Conquista y Virreinato (1521 – 1821)|España|Puebla|Puebla|España|El pan blanco fue símbolo de poder colonial; se distribuía en conventos.|
COCO|6|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Filipinas|Guerrero|Guerrero|Filipinas|Introducido vía Acapulco; se adaptó en dulces y bebidas del Pacífico.|
TEQUILA|6|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Jalisco|Jalisco|Jalisco|Mexica|Sólo puede producirse legalmente en cinco estados por denominación.|
CHILE CUARESMEÑO|6|Carnes y Mariscos|México Prehispánico (Antes de 1521)|Puebla|Puebla|Puebla|Mexica|Jalapeño llamado así por ser estrella de platillos sin carne.|
SALSA|6|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Puebla|Puebla|Puebla|Mexica|El molcajete era el primer procesador de alimentos. Salsa es cultura.|
PIMIENTO MORRON|6|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Puebla|Puebla|Puebla|Mexica|Originalmente picante; se volvió dulce tras adaptación europea.|
YOGUR|6|Lácteos y Huevos|México Contemporáneo (1940 - Actualidad)|Turquía|CDMX|CDMX|Turquía|Introducido por migrantes árabes y turcos en el siglo XX.|
CALDO DE RES|5|Carnes y Mariscos|Conquista y Virreinato (1521 – 1821)|CDMX|CDMX|CDMX|Mestiza|Platillo de fonda con hueso, verduras y limón.|
CEBOLLIN|5|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|China|CDMX|CDMX|China|Su sabor suave es ideal para decorar sopas y pastas.|
CIRUELA|5|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Francia|Zacatecas|Zacatecas|Francia|En la Colonia se cocía en vino tinto y se añadía a carnes.|
PATO|5|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Francia|CDMX|CDMX|Francia|Llegó con migrantes europeos; aparece en recetas de elite y manchamanteles.|
VINAGRE|5|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Francia|Puebla|Puebla|Francia|Fermentación que preserva alimentos; base de escabeches y curtidos.|
CHILE SECO|5|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Guerrero|Guerrero|Guerrero|Mexica|Generalización para chiles deshidratados. El alma de la salsa.|
JENGIBRE|5|Condimentos, Aceites y Endulzantes|México Contemporáneo (1940 - Actualidad)|India|Veracruz|Veracruz|India|Llegó por el Galeón de Manila; usado en dulces conventuales.|
LIMA|5|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|India|Colima|Colima|India|Más aromática que el limón; se usa en aguas y dulces cristalizados.|
APIO|5|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Italia|Puebla|Puebla|Italia|Se cultiva desde Roma antigua; en México se usa en caldos y ensaladas.|
CHILE MORITA|5|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Puebla|Puebla|Puebla|Mexica|Es chipotle pequeño, más oscuro y aromático. Adobos profundos.|
PESCADO|5|Carnes y Mariscos|México Prehispánico (Antes de 1521)|Sinaloa|Sinaloa|Sinaloa|Maya|En zonas costeras, los mexicas lo secaban y salaban para conservarlo.|
TORTILLA DE HARINA|5|Harinas y Masas|Conquista y Virreinato (1521 – 1821)|Sonora|Sonora|Sonora|Mestiza|Nació por falta de maíz; símbolo del norte mexicano.|
BAGRE|5|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Tabasco|Tabasco|Tabasco|Maya|Pez de río, ideal para empanizar o cocinar en chirmol.|
CUITLACOCHE|5|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Tlaxcala|Tlaxcala|Tlaxcala|Mexica|Conocido como “trufa mexicana”; es un hongo del maíz apreciado por chefs de alta cocina.|
OSTION|5|Carnes y Mariscos|México Prehispánico (Antes de 1521)|Veracruz|Veracruz|Veracruz|Totonaca|En la época prehispánica se usaban como ofrenda marina y se comían crudos.|
ALMEJA|4|Carnes y Mariscos|México Prehispánico (Antes de 1521)|Baja California|Baja California|Baja California|Seri|La almeja generosa se cocina enterrada bajo la arena en fuego.|
TORONJA|4|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Barbados|Veracruz|Veracruz|Barbados|Surge de cruce accidental entre naranja y pomelo en el Caribe.|
AMARANTO|4|Granos y Cereales|México Prehispánico (Antes de 1521)|CDMX|CDMX|CDMX|Mexica|Prohibido durante la Colonia por usarse en rituales aztecas. Hoy es superalimento.|
MASA CERNIDA|4|Harinas y Masas|México Prehispánico (Antes de 1521)|CDMX|CDMX|CDMX|Mexica|Se tamizaba con manta para lograr tamales más finos en ceremonias.|
CODORNIZ|4|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|España|Puebla|Puebla|España|Ave de caza; aparece en recetas coloniales como escabeches.|
GALLINA|4|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|España|Puebla|Puebla|España|Preferida en la Colonia por su grasa y sabor más fuerte.|
GARBANZO|4|Leguminosas, Semillas y Nueces|Conquista y Virreinato (1521 – 1821)|España|CDMX|CDMX|España|Se usaba en sopas conventuales y potajes junto con arroz.|
TOCINO|4|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|España|Puebla|Puebla|España|Panceta curada; se usa en frijoles y desayunos.|
MAYONESA|4|Condimentos, Aceites y Endulzantes|Influencia europea / Porfiriato (1821 - 1910)|Francia|CDMX|CDMX|Francia|Se popularizó en México a partir de los años 50.|
PULQUE BLANCO|4|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Hidalgo|Hidalgo|Hidalgo|Otomí|Se creía que era la bebida de la luna. Sólo lo bebían adultos mayores.|
COLIFLOR|4|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Italia|CDMX|CDMX|Italia|Se popularizó como verdura blanca en escabeches y tortitas.|
QUESO RANCHERO|4|Lácteos y Huevos|Conquista y Virreinato (1521 – 1821)|Jalisco|Jalisco|Jalisco|Mestiza|Salado y firme; se usa rallado en tacos dorados.|
MANZANA|4|Frutas|Conquista y Virreinato (1521 – 1821)|Kazajistán|Chihuahua|Chihuahua|Kazajistán|El árbol silvestre del que derivan todas las manzanas aún existe.|
JICAMA|4|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Morelos|Morelos|Morelos|Mexica|Su nombre viene del náhuatl xīcamatl, y se usaba en ritos de fertilidad.|
GUAJE|4|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Oaxaca|Oaxaca|Oaxaca|Zapoteca|Sus vainas eran usadas como alimento y como instrumentos musicales.|
QUESO DE HEBRA|4|Lácteos y Huevos|Conquista y Virreinato (1521 – 1821)|Oaxaca|Oaxaca|Oaxaca|Zapoteca|También llamado quesillo; se hila a mano como trenza.|
GUACAMOLE|4|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Puebla|Puebla|Puebla|Mexica|En náhuatl se decía ahuacamolli; salsa de aguacate para los nobles.|
CALDO DE CERDO|4|Carnes y Mariscos|Conquista y Virreinato (1521 – 1821)|Puebla|Puebla|Puebla|Mestiza|Base de pozole y muchos guisos de cocción lenta.|
MACHACA|4|Carnes y Mariscos|Conquista y Virreinato (1521 – 1821)|Sonora|Sonora|Sonora|Rarámuri|Carne seca golpeada; símbolo del desayuno norteño.|
