NOMBRE DEL PLATILLO|ORIGEN_Platillo|RENDIMIENTO (PERSONAS)_Platillo|PREPARACIÓN (MIN)_Platillo|COCCIÓN (MIN)_Platillo|REPOSO (MIN)_Platillo|REFRIGERACIÓN (MIN)_Platillo|CONGELACIÓN (MIN)_Platillo|DIFICULTAD_Platillo|COSTO_Platillo|TIPO_Platillo|Epoca_Platillo|Categoría_Platillo|Ingrediente|num_Platillos|Categoría_Ingrediente|Epoca_Ingrediente|Origen_Ingrediente|Destino_Ingrediente|Estado_Ingrediente|Cultura_prehispánica_Ingrediente|Nota_cultural_Ingrediente
ATUN EN COSTRA AL CHIPOTLE|BAJA CALIFORNIA|2|40|4|0|0|0|2|3|Mariscos|México Contemporáneo (1940 - Actualidad)|Pescados y mariscos|ACEITE|106|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|España|Puebla|Puebla|España|El aceite de oliva fue esencial en la comida conventual.
ATUN EN COSTRA AL CHIPOTLE|BAJA CALIFORNIA|2|40|4|0|0|0|2|3|Mariscos|México Contemporáneo (1940 - Actualidad)|Pescados y mariscos|MIEL DE XOCONOSTLE|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Hidalgo|Hidalgo|Hidalgo|Otomí|Xoconostle cocido en miel era ofrenda en altares de muertos.
ATUN EN COSTRA AL CHIPOTLE|BAJA CALIFORNIA|2|40|4|0|0|0|2|3|Mariscos|México Contemporáneo (1940 - Actualidad)|Pescados y mariscos|TLACOYO|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|CDMX|CDMX|CDMX|Mexica|Antojo ovalado con frijol; vendido desde época prehispánica en tianguis.
ATUN EN COSTRA AL CHIPOTLE|BAJA CALIFORNIA|2|40|4|0|0|0|2|3|Mariscos|México Contemporáneo (1940 - Actualidad)|Pescados y mariscos|SAL|356|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Colima|Colima|Colima|Mexica|La sal era tan valiosa que se usaba como tributo y moneda entre culturas mesoamericanas.
ATUN EN COSTRA AL CHIPOTLE|BAJA CALIFORNIA|2|40|4|0|0|0|2|3|Mariscos|México Contemporáneo (1940 - Actualidad)|Pescados y mariscos|PIMIENTA|145|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|India|Veracruz|Veracruz|India|En la Edad Media valía más que el oro; llegó por vía marítima.
ATUN EN COSTRA AL CHIPOTLE|BAJA CALIFORNIA|2|40|4|0|0|0|2|3|Mariscos|México Contemporáneo (1940 - Actualidad)|Pescados y mariscos|ENSALADA|2|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Italia|CDMX|CDMX|Italia|Platillo frío adaptado a la cocina mexicana con frutas y crema.
CALLOS DE ALMEJA EN VERDE|BAJA CALIFORNIA|5|25|5|0|0|0|1|3|Desayunos y Entradas|México Prehispánico (Antes de 1521)|Pescados y mariscos|ALMEJA|4|Carnes y Mariscos|México Prehispánico (Antes de 1521)|Baja California|Baja California|Baja California|Seri|La almeja generosa se cocina enterrada bajo la arena en fuego.
CALLOS DE ALMEJA EN VERDE|BAJA CALIFORNIA|5|25|5|0|0|0|1|3|Desayunos y Entradas|México Prehispánico (Antes de 1521)|Pescados y mariscos|TOMATE VERDE|40|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Hidalgo|Hidalgo|Hidalgo|Mexica|Más ácido que el jitomate; base prehispánica de las salsas verdes.
CALLOS DE ALMEJA EN VERDE|BAJA CALIFORNIA|5|25|5|0|0|0|1|3|Desayunos y Entradas|México Prehispánico (Antes de 1521)|Pescados y mariscos|APIO|5|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Italia|Puebla|Puebla|Italia|Se cultiva desde Roma antigua; en México se usa en caldos y ensaladas.
CALLOS DE ALMEJA EN VERDE|BAJA CALIFORNIA|5|25|5|0|0|0|1|3|Desayunos y Entradas|México Prehispánico (Antes de 1521)|Pescados y mariscos|CEBOLLA|238|Verduras y Hierbas|Conquista y Virreinato (1521 – 1821)|Irán|Puebla|Puebla|Irán|Se usaba como medicina en Egipto; llegó a México en la Colonia.
CALLOS DE ALMEJA EN VERDE|BAJA CALIFORNIA|5|25|5|0|0|0|1|3|Desayunos y Entradas|México Prehispánico (Antes de 1521)|Pescados y mariscos|CHILE SERRANO|52|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Veracruz|Veracruz|Veracruz|Totonaca|Se llama “serrano” porque crece en la sierra. Su picor varía con la altitud.
CALLOS DE ALMEJA EN VERDE|BAJA CALIFORNIA|5|25|5|0|0|0|1|3|Desayunos y Entradas|México Prehispánico (Antes de 1521)|Pescados y mariscos|HIERBABUENA|16|Verduras y Hierbas|Conquista y Virreinato (1521 – 1821)|España|Veracruz|Veracruz|España|Se adaptó tan bien que se volvió ingrediente esencial en moles verdes.
CALLOS DE ALMEJA EN VERDE|BAJA CALIFORNIA|5|25|5|0|0|0|1|3|Desayunos y Entradas|México Prehispánico (Antes de 1521)|Pescados y mariscos|ACEITE|106|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|España|Puebla|Puebla|España|El aceite de oliva fue esencial en la comida conventual.
CALLOS DE ALMEJA EN VERDE|BAJA CALIFORNIA|5|25|5|0|0|0|1|3|Desayunos y Entradas|México Prehispánico (Antes de 1521)|Pescados y mariscos|AGUACATE|41|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Puebla|Puebla|Puebla|Mexica|Su nombre significa “testículo” en náhuatl por su forma. Afrodisiaco desde tiempos antiguos.
CALLOS DE ALMEJA EN VERDE|BAJA CALIFORNIA|5|25|5|0|0|0|1|3|Desayunos y Entradas|México Prehispánico (Antes de 1521)|Pescados y mariscos|SAL|356|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Colima|Colima|Colima|Mexica|La sal era tan valiosa que se usaba como tributo y moneda entre culturas mesoamericanas.
CEVICHE DE CALLOS DE ALMEJA GARRA DE LEON|BAJA CALIFORNIA|6|15|0|120|0|0|2|3|Desayunos y Entradas|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos|ALMEJA GARRA DE LEON|1|Carnes y Mariscos|México Prehispánico (Antes de 1521)|Baja California|Baja California|Baja California|Seri|Se pesca a mano; su carne es tan suave que se puede comer cruda.
CEVICHE DE CALLOS DE ALMEJA GARRA DE LEON|BAJA CALIFORNIA|6|15|0|120|0|0|2|3|Desayunos y Entradas|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos|NARANJA|43|Frutas|Conquista y Virreinato (1521 – 1821)|India|Veracruz|Veracruz|India|Las primeras naranjas dulces llegaron vía Cuba y se adaptaron muy bien.
CEVICHE DE CALLOS DE ALMEJA GARRA DE LEON|BAJA CALIFORNIA|6|15|0|120|0|0|2|3|Desayunos y Entradas|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos|LIMON|58|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|India|Colima|Colima|India|El limón persa fue traído por los españoles y crece mejor en la costa.
CEVICHE DE CALLOS DE ALMEJA GARRA DE LEON|BAJA CALIFORNIA|6|15|0|120|0|0|2|3|Desayunos y Entradas|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos|ACEITUNA VERDE|2|Condimentos, Aceites y Endulzantes|Influencia europea / Porfiriato (1821 - 1910)|España|Puebla|Puebla|España|Se introdujo con monjas; en México se conserva en salmuera.
CEVICHE DE CALLOS DE ALMEJA GARRA DE LEON|BAJA CALIFORNIA|6|15|0|120|0|0|2|3|Desayunos y Entradas|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos|CHILE POBLANO|22|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Puebla|Puebla|Puebla|Mexica|Esencial en el chile en nogada; también se sirve capeado o en rajas.
CEVICHE DE CALLOS DE ALMEJA GARRA DE LEON|BAJA CALIFORNIA|6|15|0|120|0|0|2|3|Desayunos y Entradas|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos|ACEITE DE OLIVA|55|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|España|Puebla|Puebla|España|Se cultiva en México desde el siglo XVI, pero con restricción colonial.
CEVICHE DE CALLOS DE ALMEJA GARRA DE LEON|BAJA CALIFORNIA|6|15|0|120|0|0|2|3|Desayunos y Entradas|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos|TEQUILA|6|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Jalisco|Jalisco|Jalisco|Mexica|Sólo puede producirse legalmente en cinco estados por denominación.
CEVICHE DE CALLOS DE ALMEJA GARRA DE LEON|BAJA CALIFORNIA|6|15|0|120|0|0|2|3|Desayunos y Entradas|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos|CEBOLLA|238|Verduras y Hierbas|Conquista y Virreinato (1521 – 1821)|Irán|Puebla|Puebla|Irán|Se usaba como medicina en Egipto; llegó a México en la Colonia.
CEVICHE DE CALLOS DE ALMEJA GARRA DE LEON|BAJA CALIFORNIA|6|15|0|120|0|0|2|3|Desayunos y Entradas|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos|ELOTE|25|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Edomex|Edomex|Edomex|Mexica|Se usaba como ofrenda. Las mazorcas se asociaban al ciclo agrícola del sol.
CEVICHE DE CALLOS DE ALMEJA GARRA DE LEON|BAJA CALIFORNIA|6|15|0|120|0|0|2|3|Desayunos y Entradas|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos|SAL|356|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Colima|Colima|Colima|Mexica|La sal era tan valiosa que se usaba como tributo y moneda entre culturas mesoamericanas.
CEVICHE DE CALLOS DE ALMEJA GARRA DE LEON|BAJA CALIFORNIA|6|15|0|120|0|0|2|3|Desayunos y Entradas|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos|PIMIENTA|145|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|India|Veracruz|Veracruz|India|En la Edad Media valía más que el oro; llegó por vía marítima.
CODORNICES AL CARBON|BAJA CALIFORNIA|4|10|10|480|0|0|2|2|Carnes|Conquista y Virreinato (1521 – 1821)|Aves|ACEITE DE OLIVA|55|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|España|Puebla|Puebla|España|Se cultiva en México desde el siglo XVI, pero con restricción colonial.
CODORNICES AL CARBON|BAJA CALIFORNIA|4|10|10|480|0|0|2|2|Carnes|Conquista y Virreinato (1521 – 1821)|Aves|LIMON|58|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|India|Colima|Colima|India|El limón persa fue traído por los españoles y crece mejor en la costa.
CODORNICES AL CARBON|BAJA CALIFORNIA|4|10|10|480|0|0|2|2|Carnes|Conquista y Virreinato (1521 – 1821)|Aves|AJO|195|Verduras y Hierbas|Conquista y Virreinato (1521 – 1821)|Kazajistán|Puebla|Puebla|Kazajistán|Muy valorado por su aroma y poder antibiótico natural.
CODORNICES AL CARBON|BAJA CALIFORNIA|4|10|10|480|0|0|2|2|Carnes|Conquista y Virreinato (1521 – 1821)|Aves|CEBOLLA|238|Verduras y Hierbas|Conquista y Virreinato (1521 – 1821)|Irán|Puebla|Puebla|Irán|Se usaba como medicina en Egipto; llegó a México en la Colonia.
CODORNICES AL CARBON|BAJA CALIFORNIA|4|10|10|480|0|0|2|2|Carnes|Conquista y Virreinato (1521 – 1821)|Aves|TOMILLO|38|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Grecia|CDMX|CDMX|Grecia|Planta asociada a rituales de fuerza y valor en la antigüedad.
CODORNICES AL CARBON|BAJA CALIFORNIA|4|10|10|480|0|0|2|2|Carnes|Conquista y Virreinato (1521 – 1821)|Aves|CODORNIZ|4|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|España|Puebla|Puebla|España|Ave de caza; aparece en recetas coloniales como escabeches.
CODORNICES AL CARBON|BAJA CALIFORNIA|4|10|10|480|0|0|2|2|Carnes|Conquista y Virreinato (1521 – 1821)|Aves|ARUGULA|1|Condimentos, Aceites y Endulzantes|Influencia europea / Porfiriato (1821 - 1910)|Italia|CDMX|CDMX|Italia|Su sabor picante recuerda al rábano; antes se consideraba planta afrodisíaca.
CODORNICES AL CARBON|BAJA CALIFORNIA|4|10|10|480|0|0|2|2|Carnes|Conquista y Virreinato (1521 – 1821)|Aves|JITOMATE CHERRY|1|Verduras y Hierbas|México Contemporáneo (1940 - Actualidad)|Italia|CDMX|CDMX|Italia|Cruz europeo del jitomate americano; hoy usado en ensaladas y pizzas.
CODORNICES AL CARBON|BAJA CALIFORNIA|4|10|10|480|0|0|2|2|Carnes|Conquista y Virreinato (1521 – 1821)|Aves|SAL|356|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Colima|Colima|Colima|Mexica|La sal era tan valiosa que se usaba como tributo y moneda entre culturas mesoamericanas.
CODORNICES AL CARBON|BAJA CALIFORNIA|4|10|10|480|0|0|2|2|Carnes|Conquista y Virreinato (1521 – 1821)|Aves|PIMIENTA|145|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|India|Veracruz|Veracruz|India|En la Edad Media valía más que el oro; llegó por vía marítima.
COLAS DE LANGOSTA AL MOJO DE AJO|BAJA CALIFORNIA|2|10|12|0|0|0|2|3|Mariscos|México Contemporáneo (1940 - Actualidad)|Pescados y mariscos|LANGOSTA|2|Carnes y Mariscos|México Prehispánico (Antes de 1521)|Baja California|Baja California|Baja California|Seri|Marisco lujoso que antes se tiraba al mar; ahora se exporta.
COLAS DE LANGOSTA AL MOJO DE AJO|BAJA CALIFORNIA|2|10|12|0|0|0|2|3|Mariscos|México Contemporáneo (1940 - Actualidad)|Pescados y mariscos|ACEITE DE OLIVA|55|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|España|Puebla|Puebla|España|Se cultiva en México desde el siglo XVI, pero con restricción colonial.
COLAS DE LANGOSTA AL MOJO DE AJO|BAJA CALIFORNIA|2|10|12|0|0|0|2|3|Mariscos|México Contemporáneo (1940 - Actualidad)|Pescados y mariscos|AJO|195|Verduras y Hierbas|Conquista y Virreinato (1521 – 1821)|Kazajistán|Puebla|Puebla|Kazajistán|Muy valorado por su aroma y poder antibiótico natural.
COLAS DE LANGOSTA AL MOJO DE AJO|BAJA CALIFORNIA|2|10|12|0|0|0|2|3|Mariscos|México Contemporáneo (1940 - Actualidad)|Pescados y mariscos|SAL|356|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Colima|Colima|Colima|Mexica|La sal era tan valiosa que se usaba como tributo y moneda entre culturas mesoamericanas.
COLAS DE LANGOSTA AL MOJO DE AJO|BAJA CALIFORNIA|2|10|12|0|0|0|2|3|Mariscos|México Contemporáneo (1940 - Actualidad)|Pescados y mariscos|PEREJIL|26|Verduras y Hierbas|Conquista y Virreinato (1521 – 1821)|Grecia|CDMX|CDMX|Grecia|Se usa desde la antigüedad como planta de funeral y cocina.
COLAS DE LANGOSTA AL MOJO DE AJO|BAJA CALIFORNIA|2|10|12|0|0|0|2|3|Mariscos|México Contemporáneo (1940 - Actualidad)|Pescados y mariscos|PIMIENTA|145|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|India|Veracruz|Veracruz|India|En la Edad Media valía más que el oro; llegó por vía marítima.
DULCE DE FRIJOL ENVINADO|BAJA CALIFORNIA|12|10|30|0|0|0|1|1|Postres|Conquista y Virreinato (1521 – 1821)|Dulces y postres|FRIJOL|33|Leguminosas, Semillas y Nueces|México Prehispánico (Antes de 1521)|Oaxaca|Oaxaca|Oaxaca|Zapoteca|Junto al maíz y el chile forma la “tríada mesoamericana” alimentaria.
DULCE DE FRIJOL ENVINADO|BAJA CALIFORNIA|12|10|30|0|0|0|1|1|Postres|Conquista y Virreinato (1521 – 1821)|Dulces y postres|LECHE|43|Lácteos y Huevos|Conquista y Virreinato (1521 – 1821)|Turquía|Jalisco|Jalisco|Turquía|Las vacas fueron traídas por Cortés; antes no había leche animal en América.
DULCE DE FRIJOL ENVINADO|BAJA CALIFORNIA|12|10|30|0|0|0|1|1|Postres|Conquista y Virreinato (1521 – 1821)|Dulces y postres|AZUCAR|103|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|India|Veracruz|Veracruz|India|Cultivo traído por los españoles; el azúcar impulsó el desarrollo de haciendas.
DULCE DE FRIJOL ENVINADO|BAJA CALIFORNIA|12|10|30|0|0|0|1|1|Postres|Conquista y Virreinato (1521 – 1821)|Dulces y postres|VAINILLA|16|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Veracruz|Veracruz|Veracruz|Totonaca|Los totonacas fueron los primeros en cultivarla. Se poliniza manualmente.
DULCE DE FRIJOL ENVINADO|BAJA CALIFORNIA|12|10|30|0|0|0|1|1|Postres|Conquista y Virreinato (1521 – 1821)|Dulces y postres|JEREZ|8|Condimentos, Aceites y Endulzantes|Influencia europea / Porfiriato (1821 - 1910)|España|Puebla|Puebla|España|Vino fortificado usado en moles coloniales y salsas dulces.
ESCABECHE DE MAR|BAJA CALIFORNIA|6|30|30|0|0|0|1|2|Desayunos y Entradas|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos|ACEITE DE OLIVA|55|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|España|Puebla|Puebla|España|Se cultiva en México desde el siglo XVI, pero con restricción colonial.
ESCABECHE DE MAR|BAJA CALIFORNIA|6|30|30|0|0|0|1|2|Desayunos y Entradas|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos|AJO|195|Verduras y Hierbas|Conquista y Virreinato (1521 – 1821)|Kazajistán|Puebla|Puebla|Kazajistán|Muy valorado por su aroma y poder antibiótico natural.
ESCABECHE DE MAR|BAJA CALIFORNIA|6|30|30|0|0|0|1|2|Desayunos y Entradas|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos|CEBOLLA|238|Verduras y Hierbas|Conquista y Virreinato (1521 – 1821)|Irán|Puebla|Puebla|Irán|Se usaba como medicina en Egipto; llegó a México en la Colonia.
ESCABECHE DE MAR|BAJA CALIFORNIA|6|30|30|0|0|0|1|2|Desayunos y Entradas|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos|PIMIENTA|145|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|India|Veracruz|Veracruz|India|En la Edad Media valía más que el oro; llegó por vía marítima.
ESCABECHE DE MAR|BAJA CALIFORNIA|6|30|30|0|0|0|1|2|Desayunos y Entradas|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos|ANIS|22|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Siria|Puebla|Puebla|Siria|Base del anís mexicano; se usa en dulces y atoles.
ESCABECHE DE MAR|BAJA CALIFORNIA|6|30|30|0|0|0|1|2|Desayunos y Entradas|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos|VINAGRE DE VINO BLANCO|2|Condimentos, Aceites y Endulzantes|Influencia europea / Porfiriato (1821 - 1910)|Francia|CDMX|CDMX|Francia|Se hace de uvas blancas fermentadas; más suave que el de caña.
ESCABECHE DE MAR|BAJA CALIFORNIA|6|30|30|0|0|0|1|2|Desayunos y Entradas|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos|LAUREL|32|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Italia|CDMX|CDMX|Italia|Símbolo de victoria en Roma; en México se usa en caldos y salsas.
ESCABECHE DE MAR|BAJA CALIFORNIA|6|30|30|0|0|0|1|2|Desayunos y Entradas|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos|TOMILLO|38|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Grecia|CDMX|CDMX|Grecia|Planta asociada a rituales de fuerza y valor en la antigüedad.
ESCABECHE DE MAR|BAJA CALIFORNIA|6|30|30|0|0|0|1|2|Desayunos y Entradas|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos|MEJORANA|28|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Italia|CDMX|CDMX|Italia|Más dulce que el orégano; se cultiva en huertos urbanos.
ESCABECHE DE MAR|BAJA CALIFORNIA|6|30|30|0|0|0|1|2|Desayunos y Entradas|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos|CHILE SERRANO|52|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Veracruz|Veracruz|Veracruz|Totonaca|Se llama “serrano” porque crece en la sierra. Su picor varía con la altitud.
ESCABECHE DE MAR|BAJA CALIFORNIA|6|30|30|0|0|0|1|2|Desayunos y Entradas|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos|SAL|356|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Colima|Colima|Colima|Mexica|La sal era tan valiosa que se usaba como tributo y moneda entre culturas mesoamericanas.
ESCABECHE DE MAR|BAJA CALIFORNIA|6|30|30|0|0|0|1|2|Desayunos y Entradas|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos|CHICHARO|8|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Italia|Puebla|Puebla|Italia|Fue uno de los primeros vegetales europeos adaptados a huertos conventuales.
ESCABECHE DE MAR|BAJA CALIFORNIA|6|30|30|0|0|0|1|2|Desayunos y Entradas|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos|ZANAHORIA|28|Verduras y Hierbas|Conquista y Virreinato (1521 – 1821)|Irán|Zacatecas|Zacatecas|Irán|Era originalmente morada; la naranja se desarrolló en Países Bajos.
ESCABECHE DE MAR|BAJA CALIFORNIA|6|30|30|0|0|0|1|2|Desayunos y Entradas|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos|COLIFLOR|4|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Italia|CDMX|CDMX|Italia|Se popularizó como verdura blanca en escabeches y tortitas.
ESCABECHE DE MAR|BAJA CALIFORNIA|6|30|30|0|0|0|1|2|Desayunos y Entradas|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos|PESCADO|5|Carnes y Mariscos|México Prehispánico (Antes de 1521)|Sinaloa|Sinaloa|Sinaloa|Maya|En zonas costeras, los mexicas lo secaban y salaban para conservarlo.
ESCABECHE DE MAR|BAJA CALIFORNIA|6|30|30|0|0|0|1|2|Desayunos y Entradas|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos|MARISCOS|1|Carnes y Mariscos|México Prehispánico (Antes de 1521)|Sinaloa|Sinaloa|Sinaloa|Yaqui|El Pacífico ofrece mariscos más carnosos; su cocina tiene influencia japonesa.
OSTIONES ASADOS AL CARBON O A LA LEÑA|BAJA CALIFORNIA|6|25|20|0|0|0|3|2|Desayunos y Entradas|México Prehispánico (Antes de 1521)|Pescados y mariscos|NARANJA|43|Frutas|Conquista y Virreinato (1521 – 1821)|India|Veracruz|Veracruz|India|Las primeras naranjas dulces llegaron vía Cuba y se adaptaron muy bien.
OSTIONES ASADOS AL CARBON O A LA LEÑA|BAJA CALIFORNIA|6|25|20|0|0|0|3|2|Desayunos y Entradas|México Prehispánico (Antes de 1521)|Pescados y mariscos|JENGIBRE|5|Condimentos, Aceites y Endulzantes|México Contemporáneo (1940 - Actualidad)|India|Veracruz|Veracruz|India|Llegó por el Galeón de Manila; usado en dulces conventuales.
